"Respondent","Applied_Time","ApplicantID","how_hear","Applicant","app_day"
179,2017-03-09 11:56:03,"S3755","Indeed.com","Yes",2.49725694444444
516,2017-03-15 03:26:34,"L9091","Indeed.com","Yes",8.14344907407959
885,2017-03-21 15:38:44,"B1183","Indeed.com","Yes",14.6519097222195
337,2017-03-12 10:47:17,"G6504","Personal referral","Yes",5.44950231482033
352,2017-03-12 15:44:09,"V8297","Tesoro employee","Yes",5.65567129629078
2,2017-03-07 19:25:42,"E4553","Tesoro employee","Yes",0.809513888888889
269,2017-03-10 18:03:23,"S3866","Personal referral","Yes",3.7523495370398
189,2017-03-09 14:43:58,"D5933","Tesoro employee","Yes",2.61387731481206
171,2017-03-09 04:59:52,"B8078","I am currently an employee or contractor at Tesoro","Yes",2.2082407407435
688,2017-03-18 19:34:39,"F3416","Tesoro website or mailing","Yes",11.8157291666722
79,2017-03-08 15:56:10,"B1156","Personal referral","Yes",1.66400462962963
136,2017-03-08 23:23:53,"M1969","Tesoro website or mailing","Yes",1.97491898148424
723,2017-03-19 15:31:49,"H3369","Tesoro employee","Yes",12.6470949074074
769,2017-03-20 11:16:03,"F3164","Indeed.com","Yes",13.469490740738
166,2017-03-09 03:06:03,"S4696","Tesoro employee","Yes",2.12921296295744
425,2017-03-13 20:42:45,"B1502","Tesoro employee","Yes",6.86302083333333
843,2017-03-21 00:08:23,"R3810","Tesoro website or mailing","Yes",14.0058217592593
790,2017-03-20 16:10:53,"B3596","Personal referral","Yes",13.6742245370398
144,2017-03-09 00:00:08,"J9479","Social media (e.g. Facebook or Twitter)","Yes",2.00009259259259
700,2017-03-19 00:03:11,"B8626","Indeed.com","Yes",12.0022222222167
240,2017-03-09 22:44:13,"S6718","Tesoro employee","Yes",2.94737268518519
497,2017-03-14 22:46:39,"P3312","Tesoro website or mailing","Yes",7.94906250000276
290,2017-03-11 00:40:57,"H8679","Tesoro employee","Yes",4.02843750000552
693,2017-03-18 21:41:47,"H2177","Personal referral","Yes",11.9040162037065
694,2017-03-18 22:40:14,"P3138","Social media (e.g. Facebook or Twitter)","Yes",11.9446180555528
436,2017-03-13 22:52:32,"U4572","Indeed.com","Yes",6.95314814815367
708,2017-03-19 01:38:55,"G3921","Job training program","Yes",12.0687037036982
605,2017-03-17 00:52:35,"B4051","Tesoro employee","Yes",10.0365162037065
191,2017-03-09 14:57:58,"S0171","Indeed.com","Yes",2.62358796296848
601,2017-03-16 23:47:37,"B3571","Personal referral","Yes",9.99140046296848
717,2017-03-19 13:15:26,"M1960","I am currently an employee or contractor at Tesoro","Yes",12.5523842592593
21,2017-03-08 00:37:56,"H6378","Tesoro employee","Yes",1.02635416666391
612,2017-03-17 02:20:37,"T9831","Personal referral","Yes",10.0976504629657
530,2017-03-15 13:13:47,"M1230","Indeed.com","Yes",8.55123842592593
283,2017-03-10 22:20:39,"R9756","Personal referral","Yes",3.93101851851576
24,2017-03-08 01:29:50,"W6578","Tesoro employee","Yes",1.06239583333057
